file,ori,pre
401884314_.wav,0,0
401824043_.wav,0,0
401689007_.wav,1,0
401499352_.wav,1,0
401360376_.wav,0,0
401352396_.wav,0,0
401495336_.wav,1,0
401243844_.wav,0,0
401460379_.wav,0,1
401243913_.wav,1,0
401164850_.wav,1,1
401530910_.wav,0,0
401606771_.wav,0,0
401239614_.wav,0,0
401651277_.wav,0,0
401417557_.wav,0,0
401155343_.wav,0,0
401693993_.wav,1,1
401257373_.wav,0,0
401892307_.wav,0,0
401659076_.wav,1,1
401133607_.wav,1,1
401745278_.wav,1,1
401441563_.wav,0,0
401426903_.wav,0,0
401277100_.wav,1,1
401277369_.wav,0,0
401161496_.wav,1,1
401856319_.wav,1,1
401261430_.wav,0,0
401846362_.wav,0,0
401899446_.wav,0,0
401537614_.wav,1,1
401720210_.wav,1,1
401763745_.wav,1,1
401504407_.wav,0,0
401847570_.wav,0,0
401322061_.wav,0,0
401292929_.wav,0,0
401731239_.wav,1,1
401184015_.wav,1,1
401683874_.wav,1,1
401143394_.wav,0,0
401494244_.wav,1,1
401474232_.wav,0,0
401597691_.wav,0,0
401873507_.wav,1,0
401377872_.wav,1,1
401113263_.wav,1,0
401082559_.wav,1,1
401741176_.wav,0,1
401115469_.wav,0,0
401212236_.wav,1,1
401541389_.wav,1,1
401298853_.wav,0,0
401759247_.wav,0,0
401150133_.wav,0,0
401870292_.wav,1,0
401702920_.wav,0,0
401639901_.wav,1,0
401747185_.wav,0,0
401248098_.wav,0,0
401330533_.wav,0,0
401899799_.wav,1,1
401240758_.wav,0,0
401109973_.wav,0,0
401414241_.wav,1,0
401891841_.wav,0,0
401221334_.wav,0,0
401870182_.wav,1,1
401144221_.wav,1,1
401512512_.wav,1,1
401180947_.wav,1,1
401242600_.wav,1,1
401106165_.wav,0,0
401113515_.wav,0,0
401793469_.wav,1,1
401574343_.wav,0,0
401214142_.wav,1,0
401172732_.wav,1,1
401482650_.wav,1,1
401873351_.wav,0,0
401674944_.wav,0,0
401209452_.wav,1,0
401843171_.wav,0,0
401614447_.wav,0,0
401299958_.wav,1,1
401485910_.wav,0,0
401390201_.wav,1,1
401190930_.wav,0,0
401148371_.wav,0,0
401774613_.wav,0,1
401889829_.wav,1,1
401887526_.wav,1,1
401208962_.wav,0,0
401147623_.wav,1,0
401245070_.wav,1,1
401486025_.wav,1,0
401274966_.wav,1,1
401723627_.wav,1,0
401682064_.wav,0,0
401920062_.wav,0,0
401900868_.wav,1,1
401557710_.wav,1,1
401475907_.wav,1,1
401189921_.wav,1,1
401822103_.wav,0,0
401318826_.wav,0,0
401581685_.wav,1,1
401393261_.wav,1,1
401145853_.wav,1,0
401786430_.wav,1,1
401170614_.wav,0,0
401882687_.wav,1,1
401222727_.wav,0,0
401197666_.wav,0,0
401658542_.wav,0,0
401414979_.wav,0,0
401823597_.wav,1,1
401532930_.wav,0,0
401970176_.wav,1,1
401456831_.wav,0,0
401922868_.wav,0,0
401826697_.wav,1,1
401818563_.wav,1,1
401162794_.wav,0,0
401901012_.wav,0,0
401731367_.wav,1,1
401163509_.wav,1,1
401843952_.wav,0,1
401966062_.wav,1,0
401841500_.wav,0,0
401646326_.wav,0,0
401457582_.wav,1,1
401979438_.wav,1,0
401160735_.wav,1,1
401260145_.wav,0,0
401910035_.wav,1,1
401809751_.wav,1,0
401220535_.wav,1,1
401558049_.wav,1,1
401267566_.wav,1,1
401797633_.wav,1,1
401219480_.wav,1,1
401252560_.wav,1,0
401156174_.wav,0,1
401450167_.wav,0,0
401466414_.wav,1,1
401103109_.wav,0,0
401586325_.wav,1,0
401776543_.wav,0,0
401752197_.wav,1,1
401570769_.wav,1,1
401399405_.wav,0,0
401300444_.wav,0,0
401093573_.wav,0,0
401646418_.wav,0,0
401252771_.wav,1,1
401190064_.wav,1,1
401420327_.wav,0,0
401965260_.wav,1,1
401421235_.wav,1,1
401344682_.wav,0,0
401742404_.wav,0,0
401312867_.wav,0,0
401141811_.wav,0,1
401814753_.wav,1,1
401433953_.wav,1,0
401369630_.wav,1,1
401439687_.wav,1,1
401237769_.wav,1,0
401758368_.wav,1,1
401654717_.wav,0,0
401905022_.wav,0,0
401900224_.wav,1,1
401264997_.wav,1,1
401310120_.wav,0,0
401399936_.wav,1,1
401621924_.wav,0,0
401110827_.wav,1,1
401586433_.wav,1,1
401523214_.wav,1,1
401584051_.wav,1,1
401827746_.wav,1,1
401194546_.wav,1,1
401414414_.wav,0,0
401750522_.wav,0,0
401444905_.wav,0,0
401589917_.wav,0,0
401792916_.wav,0,0
401686434_.wav,0,0
401875988_.wav,1,1
401198960_.wav,0,0
401518835_.wav,1,0
401073957_.wav,1,1
401474276_.wav,1,1
401681599_.wav,0,0
401299173_.wav,0,0
401181340_.wav,0,0
401430604_.wav,1,1
401072189_.wav,0,0
401188207_.wav,1,1
401205497_.wav,1,0
401563255_.wav,1,1
401111965_.wav,1,1
401641311_.wav,1,1
401360078_.wav,1,0
401612139_.wav,0,0
401279002_.wav,1,1
401102697_.wav,1,1
401206066_.wav,1,1
401800213_.wav,1,1
401302149_.wav,0,0
401769686_.wav,0,0
401692905_.wav,0,0
401653705_.wav,1,1
401343764_.wav,0,0
401890932_.wav,1,0
401760820_.wav,1,0
401542890_.wav,1,1
401501578_.wav,0,0
401832137_.wav,0,0
401215290_.wav,1,1
401305791_.wav,0,0
401787927_.wav,0,0
401208712_.wav,1,1
401243845_.wav,0,1
401716192_.wav,0,0
401819674_.wav,1,1
401788095_.wav,0,0
401504733_.wav,1,1
401276378_.wav,0,0
401234443_.wav,0,0
401217117_.wav,1,1
401843499_.wav,1,0
401500482_.wav,1,1
401622692_.wav,0,0
401343862_.wav,1,1
401774777_.wav,1,1
401141166_.wav,0,0
401216327_.wav,1,0
401887087_.wav,0,0
401184529_.wav,1,1
401723997_.wav,1,1
401792886_.wav,0,0
401762636_.wav,0,0
401189120_.wav,1,1
401921855_.wav,1,1
401451773_.wav,0,0
401212137_.wav,1,0
401861195_.wav,0,0
401757673_.wav,1,1
401967828_.wav,0,1
401514074_.wav,0,0
401713367_.wav,1,1
401805503_.wav,1,1
401149490_.wav,0,0
401743681_.wav,0,0
401486341_.wav,1,1
401457736_.wav,1,1
401812900_.wav,0,0
401463771_.wav,1,1
401610180_.wav,0,0
401488037_.wav,1,1
401453124_.wav,0,0
401192900_.wav,1,0
401611595_.wav,1,1
401795793_.wav,1,1
401753176_.wav,1,0
401711441_.wav,1,1
401866135_.wav,0,0
401686233_.wav,0,0
401675552_.wav,1,0
401303697_.wav,0,0
401554809_.wav,0,0
401778612_.wav,0,0
401315274_.wav,0,0
401393485_.wav,0,0
401530522_.wav,0,0
401215186_.wav,1,0
401399747_.wav,0,0
401310254_.wav,1,1
401792552_.wav,1,1
401571842_.wav,1,1
401473455_.wav,1,1
401129125_.wav,1,0
401332363_.wav,1,1
401626173_.wav,0,0
401318592_.wav,1,1
401130747_.wav,1,1
401686737_.wav,0,0
401563915_.wav,1,1
401124055_.wav,1,1
401484226_.wav,0,0
401726079_.wav,0,0
401640987_.wav,1,1
401453821_.wav,0,0
401412332_.wav,1,1
401316450_.wav,1,1
401822721_.wav,0,0
401408249_.wav,0,0
401173022_.wav,0,0
401264310_.wav,0,0
401184998_.wav,1,1
401287216_.wav,0,0
401742806_.wav,1,0
401178011_.wav,0,0
401672844_.wav,0,0
401133005_.wav,0,0
401511958_.wav,1,0
401131600_.wav,0,0
401200853_.wav,1,1
401306720_.wav,1,1
401465892_.wav,0,1
401448609_.wav,1,1
401686445_.wav,0,0
401773175_.wav,0,0
401155177_.wav,0,0
401629531_.wav,1,1
401165308_.wav,1,1
401662203_.wav,1,1
401566629_.wav,0,0
401208080_.wav,0,0
401070537_.wav,0,0
401515480_.wav,1,0
401123720_.wav,0,0
401406079_.wav,0,1
401907028_.wav,1,1
401771161_.wav,0,0
401224357_.wav,0,0
401507486_.wav,0,0
401470233_.wav,0,0
401312473_.wav,1,1
401278864_.wav,0,0
401210652_.wav,0,0
401196004_.wav,0,0
401705902_.wav,0,0
401798015_.wav,0,0
401531908_.wav,1,1
401770925_.wav,1,0
401383718_.wav,0,0
401411495_.wav,0,0
401809048_.wav,0,1
401365326_.wav,1,1
401725779_.wav,0,0
401493587_.wav,0,0
401604535_.wav,0,0
401693694_.wav,0,0
401421705_.wav,0,0
401099155_.wav,0,0
401304657_.wav,1,1
401230063_.wav,0,0
401758127_.wav,0,0
401851658_.wav,0,0
401668636_.wav,1,1
401238492_.wav,0,0
401616395_.wav,0,0
401184052_.wav,0,0
401208510_.wav,0,0
401125132_.wav,0,0
401332952_.wav,1,1
401488670_.wav,0,0
401532738_.wav,0,0
401463223_.wav,0,0
401894740_.wav,0,0
401828295_.wav,1,1
401916266_.wav,0,0
401531952_.wav,1,0
401717564_.wav,0,0
401282686_.wav,1,1
401101933_.wav,0,0
401202749_.wav,1,1
401299549_.wav,0,0
401157515_.wav,1,1
401260453_.wav,0,0
401618293_.wav,0,0
401214554_.wav,1,1
401710724_.wav,0,0
401419669_.wav,0,0
401834727_.wav,0,0
401270331_.wav,1,1
401162159_.wav,0,0
401810036_.wav,1,1
401343044_.wav,0,0
401330359_.wav,1,1
