"sound.files","meanfreq","sd","median","Q25","Q75","IQR","skew","kurt","sp.ent","sfm","mode","centroid","meanfun","minfun","maxfun","meandom","mindom","maxdom","dfrange","modindx","label"
"431601133.wav",0.210223110886083,0.0542630689125387,0.231826280623608,0.159955456570156,0.254743875278396,0.0947884187082405,1.77953191420785,6.26258364071921,0.909275877571514,0.271003541520121,0.271269487750557,0.210223110886083,0.129478213699597,0.0559440559440559,0.177777777777778,0.5732421875,0.1328125,1.81640625,1.68359375,0.162096604091964,"male"
"431601265.wav",0.22663257959718,0.0486711307911094,0.243723958333333,0.2034375,0.263411458333333,0.0599739583333333,2.10985185456578,7.06661304857707,0.884353854900872,0.269073166179367,0.27015625,0.22663257959718,0.124021142240966,0.0655737704918033,0.266666666666667,0.438616071428571,0.22265625,0.8359375,0.61328125,0.241082802547771,"male"
"431601369.wav",0.2197673645499,0.05384335513572,0.238383561643836,0.174904109589041,0.264849315068493,0.089945205479452,2.51439084240193,10.952875622752,0.900382405440122,0.298542107508233,0.27213698630137,0.2197673645499,0.123114646263532,0.0249221183800623,0.181818181818182,0.690946691176471,0.26953125,1.59765625,1.328125,0.349019607843137,"male"
"431602955.wav",0.228765698596074,0.0371641876881863,0.232848232848233,0.204712404712405,0.25962577962578,0.0549133749133749,1.81073232186582,5.93923478959782,0.874082267432467,0.121288607516139,0.259043659043659,0.228765698596074,0.208909331495133,0.0952380952380952,0.275862068965517,0.580859375,0.21875,1.6953125,1.4765625,0.169590643274854,"male"
"431602991.wav",0.209210775036623,0.0463344657336554,0.214188034188034,0.174551282051282,0.246794871794872,0.0722435897435898,1.22572203668334,4.24126077461728,0.916991116378466,0.206203260453462,0.245747863247863,0.209210775036623,0.149607446136932,0.064,0.266666666666667,0.47640625,0.23828125,0.71875,0.48046875,0.237893248497702,"male"
"431603115.wav",0.209270500612959,0.0510822701812366,0.21645390070922,0.173758865248227,0.255971631205674,0.0822127659574468,1.77726029255744,6.67892907299276,0.909966596233126,0.250614511708281,0.275631205673759,0.209270500612959,0.163035199383264,0.117647058823529,0.195121951219512,0.668428308823529,0.27734375,1.421875,1.14453125,0.234215017064846,"male"
"431604837.wav",0.191677752023164,0.0525311578736205,0.18562962962963,0.150197530864198,0.234197530864198,0.084,1.40819529577679,4.89480749671228,0.92109823042059,0.327128435866716,0.150197530864198,0.191677752023164,0.17153495028509,0.026578073089701,0.242424242424242,0.485617897727273,0.2734375,0.88671875,0.61328125,0.207764634516227,"male"
"431605343.wav",0.201179143051851,0.0314107852887431,0.201715647339158,0.181032565528197,0.219062748212867,0.0380301826846704,3.03346993047964,13.7584275573162,0.852065744992046,0.0991526145036589,0.181032565528197,0.201179143051851,0.196248557302357,0.142857142857143,0.242424242424242,0.420496323529412,0.17578125,0.6484375,0.47265625,0.331095041322314,"male"
"431606023.wav",0.2194997297582,0.0435663394804881,0.229304812834225,0.181818181818182,0.258181818181818,0.0763636363636364,2.21443085293786,9.58349963781842,0.88732223609132,0.138451840349504,0.258181818181818,0.2194997297582,0.162054105288564,0.0529801324503311,0.266666666666667,0.498480902777778,0.2578125,0.72265625,0.46484375,0.311913000494315,"male"
"431606819.wav",0.221354060015489,0.042287382998472,0.229963898916967,0.213116726835138,0.246811070998797,0.0336943441636583,2.50062648623262,9.9911038801346,0.875337639757394,0.216327990601258,0.236197352587244,0.221354060015489,0.120356151030135,0.0092378752886836,0.266666666666667,0.370244565217391,0.21484375,0.890625,0.67578125,0.267209668943773,"male"
